dataset,subject,sess,trial,eeg_path,stimuli,speaker,sr,onset,dur,lens,split,sti_feature_path
KUL,1,1,1,ROOT/KUL_eeg/eeg/S1Tra1.npy,ROOT/KUL_eeg/audio_8k/part1_track1_dry.wav,KUL_spk-01,128,0.0,360.0,46080,train,ROOT/KUL_eeg/stimuli_feats/part1_track1_dry.npy
KUL,1,2,2,ROOT/KUL_eeg/eeg/S1Tra2.npy,ROOT/KUL_eeg/audio_8k/part2_track1_dry.wav,KUL_spk-01,128,0.0,360.0,46080,train,ROOT/KUL_eeg/stimuli_feats/part2_track1_dry.npy
KUL,1,3,3,ROOT/KUL_eeg/eeg/S1Tra3.npy,ROOT/KUL_eeg/audio_8k/part3_track1_dry.wav,KUL_spk-00,128,0.0,360.0,46080,train,ROOT/KUL_eeg/stimuli_feats/part3_track1_dry.npy
KUL,1,4,4,ROOT/KUL_eeg/eeg/S1Tra4.npy,ROOT/KUL_eeg/audio_8k/part4_track1_dry.wav,KUL_spk-00,128,0.0,360.0,46080,train,ROOT/KUL_eeg/stimuli_feats/part4_track1_dry.npy
KUL,1,5,5,ROOT/KUL_eeg/eeg/S1Tra5.npy,ROOT/KUL_eeg/audio_8k/part1_track2_dry.wav,KUL_spk-02,128,0.0,360.0,46080,train,ROOT/KUL_eeg/stimuli_feats/part1_track2_dry.npy
KUL,1,6,6,ROOT/KUL_eeg/eeg/S1Tra6.npy,ROOT/KUL_eeg/audio_8k/part2_track2_dry.wav,KUL_spk-02,128,0.0,360.0,46080,val,ROOT/KUL_eeg/stimuli_feats/part2_track2_dry.npy
KUL,1,7,7,ROOT/KUL_eeg/eeg/S1Tra7.npy,ROOT/KUL_eeg/audio_8k/part3_track2_dry.wav,KUL_spk-02,128,0.0,360.0,46080,train,ROOT/KUL_eeg/stimuli_feats/part3_track2_dry.npy
KUL,1,8,8,ROOT/KUL_eeg/eeg/S1Tra8.npy,ROOT/KUL_eeg/audio_8k/part4_track2_dry.wav,KUL_spk-02,128,0.0,360.0,46080,test,ROOT/KUL_eeg/stimuli_feats/part4_track2_dry.npy
KUL,2,1,1,ROOT/KUL_eeg/eeg/S2Tra1.npy,ROOT/KUL_eeg/audio_8k/part1_track1_dry.wav,KUL_spk-01,128,0.0,360.0,46080,train,ROOT/KUL_eeg/stimuli_feats/part1_track1_dry.npy
KUL,2,2,2,ROOT/KUL_eeg/eeg/S2Tra2.npy,ROOT/KUL_eeg/audio_8k/part2_track1_dry.wav,KUL_spk-01,128,0.0,360.0,46080,test,ROOT/KUL_eeg/stimuli_feats/part2_track1_dry.npy
KUL,2,3,3,ROOT/KUL_eeg/eeg/S2Tra3.npy,ROOT/KUL_eeg/audio_8k/part3_track1_dry.wav,KUL_spk-00,128,0.0,360.0,46080,train,ROOT/KUL_eeg/stimuli_feats/part3_track1_dry.npy
KUL,2,4,4,ROOT/KUL_eeg/eeg/S2Tra4.npy,ROOT/KUL_eeg/audio_8k/part4_track1_dry.wav,KUL_spk-00,128,0.0,360.0,46080,train,ROOT/KUL_eeg/stimuli_feats/part4_track1_dry.npy
KUL,2,5,5,ROOT/KUL_eeg/eeg/S2Tra5.npy,ROOT/KUL_eeg/audio_8k/part1_track2_dry.wav,KUL_spk-02,128,0.0,360.0,46080,train,ROOT/KUL_eeg/stimuli_feats/part1_track2_dry.npy
KUL,2,6,6,ROOT/KUL_eeg/eeg/S2Tra6.npy,ROOT/KUL_eeg/audio_8k/part2_track2_dry.wav,KUL_spk-02,128,0.0,360.0,46080,train,ROOT/KUL_eeg/stimuli_feats/part2_track2_dry.npy
KUL,2,7,7,ROOT/KUL_eeg/eeg/S2Tra7.npy,ROOT/KUL_eeg/audio_8k/part3_track2_dry.wav,KUL_spk-02,128,0.0,360.0,46080,train,ROOT/KUL_eeg/stimuli_feats/part3_track2_dry.npy
KUL,2,8,8,ROOT/KUL_eeg/eeg/S2Tra8.npy,ROOT/KUL_eeg/audio_8k/part4_track2_dry.wav,KUL_spk-02,128,0.0,360.0,46080,train,ROOT/KUL_eeg/stimuli_feats/part4_track2_dry.npy
KUL,3,1,1,ROOT/KUL_eeg/eeg/S3Tra1.npy,ROOT/KUL_eeg/audio_8k/part1_track1_dry.wav,KUL_spk-01,128,0.0,360.0,46080,train,ROOT/KUL_eeg/stimuli_feats/part1_track1_dry.npy
KUL,3,2,2,ROOT/KUL_eeg/eeg/S3Tra2.npy,ROOT/KUL_eeg/audio_8k/part2_track1_dry.wav,KUL_spk-01,128,0.0,360.0,46080,train,ROOT/KUL_eeg/stimuli_feats/part2_track1_dry.npy
KUL,3,3,3,ROOT/KUL_eeg/eeg/S3Tra3.npy,ROOT/KUL_eeg/audio_8k/part3_track1_dry.wav,KUL_spk-00,128,0.0,360.0,46080,train,ROOT/KUL_eeg/stimuli_feats/part3_track1_dry.npy
KUL,3,4,4,ROOT/KUL_eeg/eeg/S3Tra4.npy,ROOT/KUL_eeg/audio_8k/part4_track1_dry.wav,KUL_spk-00,128,0.0,360.0,46080,train,ROOT/KUL_eeg/stimuli_feats/part4_track1_dry.npy
KUL,3,5,5,ROOT/KUL_eeg/eeg/S3Tra5.npy,ROOT/KUL_eeg/audio_8k/part1_track2_dry.wav,KUL_spk-02,128,0.0,360.0,46080,train,ROOT/KUL_eeg/stimuli_feats/part1_track2_dry.npy
