subj,sess,trial,eeg_path,split,lens
sub-046,ses-varyingStories04,run-01_desc-preproc-audio-podcast_13,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-046/ses-varyingStories04/sub-046_ses-varyingStories04_task-listeningActive_run-01_desc-preproc-audio-podcast_13_eeg.npy,train,45184
sub-046,ses-varyingStories04,run-06_desc-preproc-audio-audiobook_10_1,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-046/ses-varyingStories04/sub-046_ses-varyingStories04_task-listeningActive_run-06_desc-preproc-audio-audiobook_10_1_eeg.npy,train,39552
sub-046,ses-varyingStories04,run-04_desc-preproc-audio-podcast_14,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-046/ses-varyingStories04/sub-046_ses-varyingStories04_task-listeningActive_run-04_desc-preproc-audio-podcast_14_eeg.npy,train,64512
sub-046,ses-varyingStories04,run-08_desc-preproc-audio-audiobook_1,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-046/ses-varyingStories04/sub-046_ses-varyingStories04_task-listeningActive_run-08_desc-preproc-audio-audiobook_1_eeg.npy,test,60096
sub-046,ses-varyingStories04,run-07_desc-preproc-audio-audiobook_10_2,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-046/ses-varyingStories04/sub-046_ses-varyingStories04_task-listeningActive_run-07_desc-preproc-audio-audiobook_10_2_eeg.npy,val,41856
sub-046,ses-varyingStories04,run-09_desc-preproc-audio-podcast_15,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-046/ses-varyingStories04/sub-046_ses-varyingStories04_task-listeningActive_run-09_desc-preproc-audio-podcast_15_eeg.npy,train,59136
sub-046,ses-varyingStories04,run-02_desc-preproc-audio-podcast_10,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-046/ses-varyingStories04/sub-046_ses-varyingStories04_task-listeningActive_run-02_desc-preproc-audio-podcast_10_eeg.npy,train,53632
sub-044,ses-varyingStories04,run-06_desc-preproc-audio-podcast_14,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-044/ses-varyingStories04/sub-044_ses-varyingStories04_task-listeningActive_run-06_desc-preproc-audio-podcast_14_eeg.npy,train,64512
sub-044,ses-varyingStories04,run-02_desc-preproc-audio-podcast_13,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-044/ses-varyingStories04/sub-044_ses-varyingStories04_task-listeningActive_run-02_desc-preproc-audio-podcast_13_eeg.npy,val,45184
sub-044,ses-varyingStories04,run-03_desc-preproc-audio-audiobook_1,/fs/scratch/PAS2301/kumar1109/SparrKULee/derivatives/preprocessed_eeg/sub-044/ses-varyingStories04/sub-044_ses-varyingStories04_task-listeningActive_run-03_desc-preproc-audio-audiobook_1_eeg.npy,train,60096
